Urdu,RomanUrdu
بڑہا دیا ہے فقط زیب داستاں کے لیے,badhaa diyaa hai faqat zebedaastaan ke liye
کہ تیرے زمان و مکاں اور بہی ہیں,ki tere zamaan o makaan aur bhee hain
تمہاری راہ میں مٹی کے گہر نہیں اتے,tumhaaree raah men mittee ke ghar naheen aate
یک بیاباں جلوۂ گل فرش پا انداز ہے,yakbayaabaan jalvaegul farshepaaandaaz hai
اب غم اٹہاییں کس لیے انسو بہاییں کس لیے یہ دل جلاییں کس لیے یوں جاں گنواییں کس لیے,ab ham uthaaen kis liye aansoo bahaaen kis liye ye dil jalaaen kis liye yuun jaan ganvaaen kis liye
جس سے یاروں نے رسم و راہ نہ کی,jis se yaaron ne rasmoraah na kee
خوب ہوگا ہاں جو سینہ سے نکل جایے گا تو,khuub hogaa haan jo siine se nikal jaaegaa too
وہ زمیں ایک ستم گر نے کہا اس کی ہے,vo zameen ek sitamgar ne kahaa us kee hai
ہمیں بہی یہ اب دیکہنا ہے کہ ہم پر,hamen bhee ye ab dekhnaa hai ki ham par
جیسے قسمت کو دیکہتا ہوں میں,jaise qismat ko dekhtaa huun main
میں دور گرد عرض رسوم نیاز ہوں,main duur gardearzerusoomeniyaaz huun
سینہ دہک رہا ہو تو کیا چپ رہے کویی,siina dahak rahaa ho to kyaa chup rahe koee
بچہڑ کے ان سے سلیقہ نہ زندگی کا رہا,bichhad ke un se saleeqa na zindagee kaa rahaa
ولیؔ میرا جنوں جو کویی کہ دیکہے,valee meraa junoon jo kui ki dekhe
ہیں بہرے لال و گہر عشق کے گنجینے میں,hain bhare laal o guhar ishq ke ganjeene men
چاند ڈوبے تو چاند ہی نکلے,chaand duube to chaand hee nikle
مبارک ہو ضعیفی کو خرد کی فلسفہ رانی,mubaarak ho zaeefee ko khirad kee falsafaraanee
میلے ہو جاتے ہیں رشتے بہی لباسوں کی طرح,maile ho jaate hain rishte bhee libaason kee tarah
جب صبا ایک پل چلی ہے,jab sabaa ek pal chalee hai
خوشبو غنچے تلاش کرتی ہے,khushboo hunche talaash kartee hai
ضروری نہیں چشم تر کیجیے,zarooree naheen chashm tar keejiye
نمناک تو ہو جاتے ہیں جل تہل نہیں ہوتے,namnaak to ho jaate hain jalthal naheen hote
فصیلیں توڑ نہ دیتے جو اب کے اہل قفس,faseelen tod na dete jo ab ke ahleqafas
دل کشا بادۂ صافی کا کسے ذوق نہیں,dilkushaa baadaesaafee kaa kise zauq naheen
دور فلک میں ہیں یہ اشارے ہلال کے,daurefalak men hain ye ishaare hilaal ke
یاں ٹہکانا نظر نہیں اتا,yaan thikaanaa nazar naheen aataa
غنیمت ہے چشم تغافل بہی ان کی,haneemat hai chashmeta haaful bhee un kee
ہویی ہرگز نہ تیرے چشم کے بیمار کو صحت,huee hargiz na tere chashm ke beemaar ko sehhat
شاید کہ مر گیا ترے رخسار دیکہ کر,shaayad ki mar gayaa tire rukhsaar dekh kar
اس راہ میں وے جیسے انجان نکلتے ہیں,is raah men ve jaise anjaan nikalte hain
یہ تشنگی تو مجہے زندگی سے پیاری ہے,ye tishnagee to mujhe zindagee se pyaaree hai
دلوں میں ان کے ہے نور ایماں قوی نہیں ہے مگر نگہباں,dilon men un ke hai nooreeemaan qavee naheen hai magar nigahbaan
روانی ہاۓ موج خون بسمل سے ٹپکتا ہے,ravaaneehaaemaujekhoonebismil se tapaktaa hai
جنوں میں جتنی بہی گزری بکار گزری ہے,junoon men jitnee bhee guzree bakaar guzree hai
کشش عجیب تہی اس دشت کی صداوں میں,kashish ajiib thee us dasht kee sadaaon men
موت کی راہ نہ دیکہوں کہ بن ایے نہ رہے,maut kee raah na dekhoon ki bin aae na rahe
بیٹہا ہے بت اینہ سیما مرے اگے,baithaa hai buteaainaseemaa mire aage
میرؔ دو دن نہ جیے ہجر کے ازار کے ساتہ,meer do din na jiye hijr ke aazaar ke saath
نہ جی خوش کر سکا تیرا کرم بہی,na jee khush kar sakaa teraa karam bhee
بچہا دیا تہا گلابوں کے ساتہ اپنا وجود,bichhaa diyaa thaa gulaabon ke saath apnaa vajood
ادمی کام کا نہیں ہوتا,aadmee kaam kaa naheen hotaa
اج بہی اگ دبی ہے دل انساں میں فراقؔ,aaj bhee aag dabee hai dileinsaan men firaaq
نہ سوال وصل نہ عرض غم نہ حکایتیں نہ شکایتیں,na savaalevasl na arze ham na hikaayaten na shikaayaten
گر کیا ناصح نے ہم کو قید اچہا یوں سہی,gar kiyaa naaseh ne ham ko qaid achchhaa yuun sahee
اس کے دشمن ہیں بہت ادمی اچہا ہوگا,us ke dushman hain bahut aadmee achchhaa hogaa
یوں تو بچی بچی سی اٹہی وہ نگاہ ناز,yuun to bachee bachee see uthee vo nigaahenaaz
ابہی نہ چہیڑ محبت کے گیت اے مطرب,abhee na chhed mohabbat ke giit ai mutrib
اس مکہ کو ترے صفحۂ قراں سوں کہوں گا,is mukh ko tire safhaequraan suun kahoongaa
تو بہت تیز روشنی ہو کیا,to bahut tez raushnee ho kyaa
کیا سبب تو جو بگڑتا ہے ظفرؔ سے ہر بار,kyaa sabab too jo bigadtaa hai zafar se har baar
میں کویی موم نہیں ہوں جو پگہل جاوں گا,main koee mom naheen huun jo pighal jaaoongaa
حق شناسوں کے ہاں خدا ہے عشق,haqshanaason ke haan khudaa hai ishq
دامن دامن دہول,daaman daaman dhuul
بچہڑا ہے جو اک بار تو ملتے نہیں دیکہا,bichhdaa hai jo ik baar to milte naheen dekhaa
ایک ندی میں کتنے بہنور,ek nadee men kitne bhanvar
مگر انسان میں کچہ فہم اشارات تو ہو,magar insaan men kuchh fahmeishaaraat to ho
اوروں جیسے ہو کر بہی ہم با عزت ہیں بستی میں,auron jaise ho kar bhee ham baaizzat hain bastee men
اخر کویی تقریب ملاقات بنے گی,aakhir koee taqreebemulaaqaat banegee
کبہی تلاش پرانی رفاقتیں کرنی,kabhee talaash puraanee rifaaqaten karnee
ہاں مجہی کو خراب ہونا تہا,haan mujhee ko kharaab honaa thaa
بخت سویے ہیں بہت جاگ کے اے دور زماں,bakht soe hain bahut jaag ke ai daurezamaan
دوڑے ہے پہر ہر ایک گل و لالہ پر خیال,daude hai phir har ek gulolaala par khayaal
جادۂ راہ وفا جز دم شمشیر نہیں,jaadaeraahevafaa juz dameshamsheer naheen
پہر طشتری میں رنگ پرانے نہ گہولیے,phir tashtaree men rang puraane na gholiye
اب کسی سے مرا حساب نہیں,ab kisee se miraa hisaab naheen
ہو گیا فرض مجہے شوق کا دفتر لکہنا,ho gayaa farz mujhe shauq kaa daftar likhnaa
پر ہم ایسے کہوے جاتے ہیں کہ وہ پا جایے ہے,par ham aise khoe jaate hain ki vo paa jaae hai
ظاہرا غمگیں اسے رہنا خوش ایا ہے بہت,zaahiran hamgeen use rahnaa khush aayaa hai bahut
مذہبی بحث میں نے کی ہی نہیں,mazhabee bahas main ne kee hee naheen
کس کے اجڑے ہویے دل میں ہے ٹہکانا تیرا,kis ke ujde hue dil men hai thikaanaa teraa
عشق صادق ہو تو غم بہی بے مزا ہوتا نہیں,ishq saadiq ho to ham bhee bemazaa hotaa naheen
کب مجہ کو اعتراف محبت نہ تہا فرازؔ,kab mujh ko e tiraafemohabbat na thaa faraaz
تجہ کو خود پہ تہا اعتماد اتنا,tujh ko khud pe thaa e timaad itnaa
ابہی تو سویے تہے مقتل کو سرخ رو کر کے,abhee to soe the maqtal ko surkhroo kar ke
نیاز مند نہ کیوں عاجزی پہ ناز کرے,niyaazmand na kyuun aajizee pe naaz kare
ساغر مے مدام تجہ لب کا,saa haremai mudaam tujh lab kaa
کیا مجہے خوش ایے یہ حیرت سرایے بے ثبات,kyaa mujhe khush aae ye hairatsaraaebesabaat
سمجہتا کیا ہے تو دیوانگان عشق کو زاہد,samajhtaa kyaa hai too deevaangaaneishq ko zaahid
کہاں ہر ایک سے انسانیت کا بار اٹہا,kahaan har ek se insaaniyat kaa baar uthaa
جانے کس طرح یہ مذکور دوبارا نکلا,jaane kis tarah ye mazkoor dobaaraa niklaa
تم ہم سے نہیں کرتے وفا کچہ نہیں کرتے,tum ham se naheen karte vafaa kuchh naheen karte
کہ دل سے شور اٹہا ہایے بے قرار کیا,ki dil se shor uthaa haae beqaraar kiyaa
جمع ہیں ہر سو تماشایی بہت,jama hain har soo tamaashaaee bahut
ساحل تہا ہاتہ بہر پہ لگاتے جو چار ہاتہ,saahil thaa haath bhar pe lagaate jo chaar haath
نامہ بر خط دے کے اس نو خط کو تو نے کیا کہا,naamabar khat de ke us naukhat ko too ne kyaa kahaa
نہ کہینچو گر تم اپنے کو کشاکش درمیاں کیوں ہو,na kheencho gar tum apne ko kashaakash darmiyaan kyuun ho
دیکہ لیتے جو انہیں تو مجہے رکہتے معذور,dekh lete jo unhen to mujhe rakhte maazoor
شب فرقت بہی جگمگا اٹہی,shabefurqat bhee jagmagaa utthee
ہے کچہ ایسی ہی بات جو چپ ہوں,hai kuchh aisee hee baat jo chup huun
ا چکا پیش وہ مروت سے,aa chukaa pesh vo muravvat se
رت بدلنے لگی رنگ دل دیکہنا رنگ گلشن سے اب حال کہلتا نہیں,rut badalne lagee rangedil dekhnaa rangegulshan se ab haal khultaa naheen
رسایی کس طرح ہو دخل کیوں کر ہو گزر کیا ہو,rasaaee kis tarah ho dakhl kyoonkar ho guzar kyaa ho
مل جایے نجات عشق کو اس در بدری سے,mil jaae najaat ishq ko is darbadaree se
اے شخص میں تیری جستجو سے,ai shakhs main teree justujoo se
ہو فشار ضعف میں کیا ناتوانی کی نمود,ho fishaarezof men kyaa naatavaanee kee numood
تصویر حیات ہو گیی ہے,tasveerehayaat ho gaee hai
اثر کرے نہ کرے سن تو لے مری فریاد,asar kare na kare sun to le miree fariyaad
میں بہی رک رک کے نہ مرتا جو زباں کے بدلے,main bhee ruk ruk ke na martaa jo zabaan ke badle
ہر اک کی بات سننے پر توجہ مت کر اے ظالم,har ik kee baat sunne par tavajjoh mat kar ai zaalim
اس بہید کو اللہ کی قسم کہہ نہیں سکتے,is bhed ko allaah kee qasam kah naheen sakte
اج اس عیسی نفس دم ساز کی باتیں کرو,aaj us eesaanafas damsaaz kee baaten karo
راہ دور عشق میں روتا ہے کیا,raahedooreishq men rotaa hai kyaa
جوش دل کافی ہے اکبرؔ تان اڑانے کے لیے,joshedil kaafee hai akbar taan udaane ke liye
ہم کو دیوانگی شہروں ہی میں خوش اتی ہے,ham ko deevaangee shahron hee men khush aatee hai
موسم کے ہاتہ بہیگ کے سفاک ہو گیے,mausam ke haath bhiig ke saffaak ho gae
طرف کلہ میں دے شکن اس کو یہ درد سر نہیں,tarfekulah men de shikan us ko ye dardesar naheen
پہنچا قریب مرگ کے وہ صید ناقبول,pahunchaa qareeb marg ke vo saidenaaqubool
فریب خوردۂ منزل ہے کارواں ورنہ,farebkhurdaemanzil hai kaarvaan varna
کمتریں مزدور سنگیں دست ہے فرہاد یاں,kamtareen mazdooresangeendast hai farhaad yaan
تری ہتہیلی پہ کس نے لکہا ہے قتل میرا,tiree hathelee pe kis ne likkhaa hai qatl meraa
بہت بخار اٹہے انکہ شبنمی نہ ہویی,bahut bukhaar uthe aankh shabnamee na huee
اک عبث کا وجود ہے جس سے,ik abas kaa vajood hai jis se
دل کا کیا ہے وہ تو چاہے گا مسلسل ملنا,dil kaa kyaa hai vo to chaahegaa musalsal milnaa
میں نے فوٹو لے لیا اس نے نظر پہچان لی,main ne photo le liyaa us ne nazar pahchaan lee
اس نے ہی اس کو اجاڑا ہے اسے لوٹا ہے,us ne hee is ko ujaadaa hai ise luutaa hai
کہ خون چاٹ کے ہو جایے گی یہ اگ بہی باغ,ki khuun chaat ke ho jaaegee ye aag bhee baa h
اج کی داستاں ہماری ہے,aaj kee daastaan hamaaree hai
اس سے تو شمع نمط سر بہی کٹایا نہ گیا,us se to shamanamat sar bhee kataayaa na gayaa
یہ نہ کہہ ہم سے تیرے منہ میں خاک,ye na kah ham se tere munh men khaak
وہ خود فراخی افلاک میں ہے خوار و زبوں,vo khud faraakhieaflaak men hai khvaar o zuboon
ترے جمال سے کیسا جلال پیدا تہا,tire jamaal se kaisaa jalaal paidaa thaa
قرار دے کے ترے در سے بے قرار چلے,qaraar de ke tire dar se beqaraar chale
الفاظ میں اظہار محبت کے طریقے,alfaaz men izhaaremohabbat ke tareeqe
ایک پل میں زندگی بہر کی اداسی دے گیا,ek pal men zindagee bhar kee udaasee de gayaa
وفایے دلبراں ہے اتفاقی ورنہ اے ہمدم,vafaaedilbaraan hai ittifaaqee varna ai hamdam
دل بہ دل پیوستہ گویا یک لب افسوس تہا,dilbadil paivasta goyaa yak labeafsos thaa
ایک ہی مژدہ صبح لاتی ہے,ek hee muzhda subh laatee hai
پہول بن کے سیروں میں اور کون شامل تہا,phuul ban ke sairon men aur kaun shaamil thaa
یہ سچ ہے نازنیں ہو خوبصورت ہو مگر کیا ہو,ye sach hai naazneen ho khoobsoorat ho magar kyaa ho
تو اور سویے غیر نظر ہایے تیز تیز,too aur sooe hair nazarhaaetez tez
اب کیا سوچیں کیا حالات تہے کس کارن یہ زہر پیا ہے,ab kyaa sochen kyaa haalaat the kis kaaran ye zahr piyaa hai
پہر ہوا وقت کہ ہو بال کشا موج شراب,phir huaa vaqt ki ho baalkushaa maujesharaab
سخت بے اعتبار تہے ہم تو,sakht bee tibaar the ham to
جو اپنے اپ کو میں نے بجہا دیا ہوتا,jo apneaap ko main ne bujhaa diyaa hotaa
جاتا ہے شمع کشتہ کو پروانہ چہوڑ کر,jaataa hai shamekushta ko parvaana chhod kar
ہوتی ہے اج دیکہیے ہم کو سحر کہاں,hotee hai aaj dekhiye ham ko sahar kahaan
کلیجہ چاہیے دشمن سے دشمنی کے لیے,kaleja chaahiye dushman se dushmanee ke liye
غزل بہی وہ جو کسی کو ابہی سنایی نہ تہی,hazal bhee vo jo kisee ko abhee sunaaee na thee
زلف سو مہکی ہویی راتوں کا بن کیا کہنا,zulf so mahkee huee raaton kaa ban kyaa kahnaa
وحشت کہاں کہ بے خودی انشا کرے کویی,vahshat kahaan ki bekhudee inshaa kare koee
اہ و فریاد کی رخصت ہی سہی,aah o fariyaad kee rukhsat hee sahee
زور نسبت مے سے رکہتا ہے اضارا کا نمک,zor nisbat mai se rakhtaa hai azaaraa kaa namak
لگایا خندہ ناصح نے بخیہ جیب و دامن میں,lagaayaa khandaenaaseh ne bakhiya jebodaaman men
یہ درد کی تنہاییاں یہ دشت کا ویراں سفر,ye dard kee tanhaaiyaan ye dasht kaa veeraan safar
غنیم غم کیا ہے فوج بندی عشق بازاں پر,haneeme ham kiyaa hai faujbandee ishqbaazaan par
یہ بڑا عیب مجہ میں ہے اکبرؔ,ye badaa aib mujh men hai akbar
گزرے ہے ابلہ پا ابر گہربار ہنوز,guzre hai aablapaa abreguharbaar hunooz
عشق بہی تاک میں بیٹہا ہے نظر بازوں کی,ishq bhee taak men baithaa hai nazarbaazon kee
مونگ چہاتی پہ جو دلتے ہیں کسی کی دیکہنا,muung chhaatee pe jo dalte hain kisee kee dekhnaa
شان دماغ عشق کے جلوے سے یہ بڑہی,shaanedimaa h ishq ke jalve se ye badhee
حیات درد ہویی جا رہی ہے کیا ہوگا,hayaatedard huee jaa rahee hai kyaa hogaa
کر لیا ساری خدایی سے بگاڑ,kar liyaa saaree khudaaee se bigaad
فکر ہر شخص کو شہزادی کے انجام کی تہی,fikr har shakhs ko shahzaadee ke anjaam kee thee
پا بہ دامن ہو رہا ہوں بسکہ میں صحرا نورد,paabadaaman ho rahaa huun baski main sahraanavard
کیا صوفی و ملا کو خبر میرے جنوں کی,kyaa suufee o mullaa ko khabar mere junoon kee
چاند کے ڈوبنے کی بات اسی شام کی تہی,chaand ke doobne kee baat usee shaam kee thee
خوبصورت ہیں مگر زہر کے پیالوں کی طرح,khoobsoorat hain magar zahr ke pyaalon kee tarah
نہ اس کو سننے کی فرصت کہوں تو کس سے کہوں,na us ko sunne kee fursat kahoon to kis se kahoon
یا سفیدی کی یا اخیر ہویے,yaa safedee kee yaa akheer hue
ہمیں تو یوں ہی ملے سخن کے صلے سڑک کے بیچ,hamen to yoonhee mile sukhan ke sile sadak ke biich
یاں رواں مژگان چشم تر سے خون ناب تہا,yaan ravaan mizhgaanechashmetar se khoonenaab thaa
زندگی ہجر کی کہانی بہی,zindagee hijr kee kahaanee bhee
دونوں عالم ہیں جس کے زیر نگیں,donon aalam hain jis ke zerenageen
اے صنم تجہ جبیں اپر یہ خال,ai sanam tujh jabeen upar ye khaal
یہ جہریاں نہیں ہاتہوں پہ ضعف پیری نے,ye jhurriyaan naheen haathon pe zoafepeeree ne
تو اگر میرا نہیں بنتا نہ بن اپنا تو بن,too agar meraa naheen bantaa na ban apnaa to ban
کہاں گیے وہ سخی سبز چادروں والے,kahaan gae vo sakhee sabz chaadaron vaale
کہٹک سی ہے جو سینے میں غم منزل نہ بن جایے,khatak see hai jo siine men hamemanzil na ban jaae
ہجر ہو یا وصال ہو کچہ ہو,hijr ho yaa visaal ho kuchh ho
اپنے سر اک بلا تو لینی تہی,apne sar ik balaa to lenee thee
ٹپکا پڑے ہے رنگ چمن میں ہوا سے اج,tapkaa pade hai rang chaman men havaa se aaj
میں اپنی ہی الجہی ہویی راہوں کا تماشہ,main apnee hee uljhee huee raahon kaa tamaasha
ان چراغوں کے تلے ایسے اندہیرے کیوں ہے,in charaa hon ke tale aise andhere kyuun hai
نہ شوخی شوخ ہے اتنی نہ پرکار اتنی پرکاری,na shokhee shokh hai itnee na purkaar itnee purkaaree
ان کا انا نظر نہیں اتا,un kaa aanaa nazar naheen aataa
ہوش جاتا ہے جگر جاتا ہے دل جاتا ہے,hosh jaataa hai jigar jaataa hai dal jaataa hai
یہ نیا شہر تو ہے خوب بسایا تم نے,ye nayaa shahar to hai khuub basaayaa tum ne
جہاں سے پچہلے پہر کویی تشنہ کام اٹہا,jahaan se pichhle pahar koee tishnakaam uthaa
دل تو پہلے لے چکے اب جان کے خواہاں ہیں اپ,dil to pahle le chuke ab jaan ke khvaahaan hain aap
اس طرح خوش ہوں کسی کے وعدۂ فردا پہ میں,is tarah khush huun kisee ke vaadaefardaa pe main
ہم سے اے اہل تنعم منہ چہپانا چاہیے,ham se ai ahletanaaum munh chhupaanaa chaahiye
تو جہکا جب غیر کے اگے نہ من تیرا نہ تن,too jhukaa jab hair ke aage na man teraa na tan
جنوں گرم انتظار و نالہ بیتابی کمند ایا,junoon garm intizaar o naala betaabee kamand aayaa
ہوایے دہر ہمیں کس لیے بجہاتی ہے,havaaedahr hamen kis liye bujhaatee hai
یاں تو کویی سنتا نہیں فریاد کسو کی,yaan to koee suntaa naheen fariyaad kisoo kee
یہ کمال عشق کی سازشیں یہ جمال حسن کی نازشیں,ye kamaaleishq kee saazishen ye jamaalehusn kee naazishen
پڑا رہے یہ سخن کان میں گہر کی طرح,padaa rahe ye sukhan kaan men guhar kee tarah
انے والی برکہا دیکہیں کیا دکہلایے انکہوں کو,aane vaalee barkhaa dekhen kyaa dikhlaae aankhon ko
وہ اثر جذب محبت میں کہاں ہے کہ جو تہا,vo asar jazbemohabbat men kahaan hai ki jo thaa
اے داغؔ دل ہی دل میں گہلے ضبط عشق سے,ai daa h dil hee dil men ghule zabteishq se
گوش مہجور پیام و چشم محروم جمال,gosh mahjoorepayaam o chashmemahroomejamaal
یہ تیغ اپنے لہو میں نیام ہوتی رہی,ye te h apne lahoo men niyaam hotee rahee
ویرانی نے جہاڑو دے کے گہر میں دہول اڑایی ہے,veeraanee ne jhaadoo de ke ghar men dhuul udaaee hai
جب ملے صندل و گلاب سخن,jab mile sandalogulaabesukhan
اینہ زانویے فکر اختراع جلوہ ہے,aaina zaanooefikreikhtiraaejalva hai
تری شان تغافل کو خبر کیا,tiree shaaneta haaful ko khabar kyaa
میں بہی گویا اسی کو بہول گیا,main bhee goyaa usee ko bhuul gayaa
ہم سفر راہ عدم میں نہ ہو تاروں بہری رات,hamsafar raaheadam men na ho taaronbharee raat
مرے قریب سے ہو کر وہ نا گہاں گزرے,mire qareeb se ho kar vo naagahaan guzre
کبہی تو شب سر کاکل سے مشکبار چلے,kabhee to shab sarekaakul se mushkbaar chale
یوں تو ہم عاجز ترین خلق عالم ہیں ولے,yuun to ham aajiztareenekhalqeaalam hain vale
نظر میں دہول جگر میں لیے غبار چلے,nazar men dhuul jigar men liye hubaar chale
شب کہ وہ مجلس فروز خلوت ناموس تہا,shab ki vo majlisfarozekhalvatenaamoos thaa
جدا اغاز سے انجام سے دور,judaa aa haaz se anjaam se duur
کہتے ہیں سب یہ قبر کسی نوجواں کی ہے,kahte hain sab ye qabr kisee naujavaan kee hai
بہولی ہویی نہ ہو نگہ فتنہ گر مجہے,bhoolee huee na ho nigahefitnagar mujhe
گفتگو کم سے کم کیا کیجے,guftugoo kam se kam kiyaa kiije
جو لالچوں سے تجہے مجہ کو جل کے دیکہتے ہیں,jo laalachon se tujhe mujh ko jal ke dekhte hain
پانی کو اب تو سر سے گزر جانا چاہیے,paanee ko ab to sar se guzar jaanaa chaahiye
شرم ہے اپنی بار باری کی,sharm hai apnee baar baaree kee
خامہ میرا کہ وہ ہے باربد بزم سخن,khaama meraa ki vo hai baarbudebazmesukhan
مگر اس سنگ دل سوں مہربانی کی صدا نکلے,magar us sangdil suun mehrbaanee kee sadaa nikle
زمانہ ایک سا جالبؔ سدا نہیں رہتا,zamaana ek saa jaalib sadaa naheen rahtaa
تکلف بر طرف مل جایے گا تجہ سا رقیب اخر,takalluf bartaraf mil jaaegaa tujh saa raqeeb aakhir
کیا عجب کل وہ زمانے کو نصابوں میں ملیں,kyaa ajab kal vo zamaane ko nisaabon men milen
مگر یہ تو مری منزل نہیں ہے,magar ye to miree manzil naheen hai
شغل مے پرستی گو جشن نامرادی تہا,shu hlemaiparastee go jashnenaamuraadee thaa
جو دوستی میں حدیں بہول جانے والے تہے,jo dostee men haden bhuul jaane vaale the
پہر یہ کیا ہے اگر مزاج نہیں,phir ye kyaa hai agar mizaaj naheen
مانا کہ چشم شوق بہت بے حجاب ہے,maanaa ki chashmeshauq bahut behijaab hai
مری انکہوں کو انسو تیرے ہونٹوں کو ہنسی دی ہے,miree aankhon ko aansoo tere honton ko hansee dee hai
روشنی ختم نہ کر اگے اندہیرا ہوگا,raushnee khatm na kar aage andheraa hogaa
کیوں کسی کا گلہ کرے کویی,kyuun kisee kaa gila kare koee
نہ پوچہ اقبال کا ٹہکانہ ابہی وہی کیفیت ہے اس کی,na poochh iqbaal kaa thikaana abhee vahee kaifiyat hai us kee
ترے پہلو میں کیوں ہوتا ہے محسوس,tire pahloo men kyuun hotaa hai mahsoos
جسے کویی نسبت خاص ہو ترے حسن برق خرام سے,jise koee nisbatekhaas ho tire husnebarqkhiraam se
شیخ کی مجلس میں بہی مفلس کی کچہ پرسش نہیں,shaikh kee majlis men bhee muflis kee kuchh pursish naheen
