Urdu,RomanUrdu
سر بہ زانو ہے کویی سر بہ گریباں جاناں,sarbazaanoo hai koee sarbagarebaan jaanaan
ہر کویی اپنی ہی اواز سے کانپ اٹہتا ہے,har koee apnee hee aavaaz se kaanp uthtaa hai
ہر کویی اپنے ہی سایے سے ہراساں جاناں,har koee apne hee saae se hiraasaan jaanaan
جس کو دیکہو وہی زنجیر بہ پا لگتا ہے,jis ko dekho vahee zanjeerbapaa lagtaa hai
شہر کا شہر ہوا داخل زنداں جاناں,shahr kaa shahr huaa daakhilezindaan jaanaan
اب ترا ذکر بہی شاید ہی غزل میں ایے,ab tiraa zikr bhee shaayad hee hazal men aae
اور سے اور ہویے درد کے عنواں جاناں,aur se aur hue dard ke unvaan jaanaan
ہم کہ روٹہی ہویی رت کو بہی منا لیتے تہے,ham ki roothee huee rut ko bhee manaa lete the
ہم نے دیکہا ہی نہ تہا موسم ہجراں جاناں,ham ne dekhaa hee na thaa mausamehijraan jaanaan
ہوش ایا تو سبہی خواب تہے ریزہ ریزہ,hosh aayaa to sabhee khvaab the reza reza
جیسے اڑتے ہویے اوراق پریشاں جاناں,jaise udte hue auraaqepareshaan jaanaan
اب کیا سوچیں کیا حالات تہے کس کارن یہ زہر پیا ہے,ab kyaa sochen kyaa haalaat the kis kaaran ye zahr piyaa hai
ہم نے اس کے شہر کو چہوڑا اور انکہوں کو موند لیا ہے,ham ne us ke shahr ko chhodaa aur aankhon ko muund liyaa hai
اپنا یہ شیوہ تو نہیں تہا اپنے غم اوروں کو سونپیں,apnaa ye sheva to naheen thaa apne ham auron ko saunpen
خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے,khud to jaagte yaa sote hain us ko kyuun bekhvaab kiyaa hai
خلقت کے اوازے بہی تہے بند اس کے دروازے بہی تہے,khilqat ke aavaaze bhee the band us ke darvaaze bhee the
پہر بہی اس کوچے سے گزرے پہر بہی اس کا نام لیا ہے,phir bhee us kooche se guzre phir bhee us kaa naam liyaa hai
ہجر کی رت جاں لیوا تہی پر غلط سبہی اندازے نکلے,hijr kee rut jaanlevaa thee par halat sabhee andaaze nikle
تازہ رفاقت کے موسم تک میں بہی جیا ہوں وہ بہی جیا ہے,taaza rifaaqat ke mausam tak main bhee jiyaa huun vo bhee jiyaa hai
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکہ کے رسیا ہو,ek faraaz tumheen tanhaa ho jo ab tak dukh ke rasiyaa ho
ورنہ اکثر دل والوں نے درد کا رستہ چہوڑ دیا ہے,varna aksar dil vaalon ne dard kaa rasta chhod diyaa hai
اب شوق سے کہ جاں سے گزر جانا چاہییے,ab shauq se ki jaan se guzar jaanaa chaahiye
بول اے ہوایے شہر کدہر جانا چاہییے,bol ai havaaeshahr kidhar jaanaa chaahiye
کب تک اسی کو اخری منزل کہیں گے ہم,kab tak isee ko aakhiree manzil kahenge ham
کویے مراد سے بہی ادہر جانا چاہییے,kooemuraad se bhee udhar jaanaa chaahiye
وہ وقت ا گیا ہے کہ ساحل کو چہوڑ کر,vo vaqt aa gayaa hai ki saahil ko chhod kar
گہرے سمندروں میں اتر جانا چاہییے,gahre samundaron men utar jaanaa chaahiye
اب رفتگاں کی بات نہیں کارواں کی ہے,ab raftagaan kee baat naheen kaarvaan kee hai
جس سمت بہی ہو گرد سفر جانا چاہییے,jis samt bhee ho gardesafar jaanaa chaahiye
کچہ تو ثبوت خون تمنا کہیں ملے,kuchh to subootekhoonetamannaa kaheen mile
ہے دل تہی تو انکہ کو بہر جانا چاہییے,hai dil tahee to aankh ko bhar jaanaa chaahiye
یا اپنی خواہشوں کو مقدس نہ جانتے,yaa apnee khvaahishon ko muqaddas na jaante
یا خواہشوں کے ساتہ ہی مر جانا چاہییے,yaa khvaahishon ke saath hee mar jaanaa chaahiye
ابہی کچہ اور کرشمے غزل کے دیکہتے ہیں,abhee kuchh aur karishme hazal ke dekhte hain
فرازؔ اب ذرا لہجہ بدل کے دیکہتے ہیں,faraaz ab zaraa lahja badal ke dekhte hain
جداییاں تو مقدر ہیں پہر بہی جان سفر,judaaiyaan to muqaddar hain phir bhee jaanesafar
کچہ اور دور ذرا ساتہ چل کے دیکہتے ہیں,kuchh aur duur zaraa saath chal ke dekhte hain
رہ وفا میں حریف خرام کویی تو ہو,rahevafaa men hareefekhiraam koee to ho
سو اپنے اپ سے اگے نکل کے دیکہتے ہیں,so apne aap se aage nikal ke dekhte hain
تو سامنے ہے تو پہر کیوں یقیں نہیں اتا,too saamne hai to phir kyuun yaqeen naheen aataa
یہ بار بار جو انکہوں کو مل کے دیکہتے ہیں,ye baar baar jo aankhon ko mal ke dekhte hain
یہ کون لوگ ہیں موجود تیری محفل میں,ye kaun log hain maujood teree mahfil men
جو لالچوں سے تجہے مجہ کو جل کے دیکہتے ہیں,jo laalachon se tujhe mujh ko jal ke dekhte hain
یہ قرب کیا ہے کہ یک جاں ہویے نہ دور رہے,ye qurb kyaa hai ki yakjaan hue na duur rahe
ہزار ایک ہی قالب میں ڈہل کے دیکہتے ہیں,hazaar ek hee qaalib men dhal ke dekhte hain
نہ تجہ کو مات ہویی ہے نہ مجہ کو مات ہویی,na tujh ko maat huee hai na mujh ko maat huee
سو اب کے دونوں ہی چالیں بدل کے دیکہتے ہیں,so ab ke donon hee chaalen badal ke dekhte hain
یہ کون ہے سر ساحل کہ ڈوبنے والے,ye kaun hai saresaahil ki doobne vaale
سمندروں کی تہوں سے اچہل کے دیکہتے ہیں,samundaron kee tahon se uchhal ke dekhte hain
ابہی تلک تو نہ کندن ہویے نہ راکہ ہویے,abhee talak to na kundan hue na raakh hue
ہم اپنی اگ میں ہر روز جل کے دیکہتے ہیں,ham apnee aag men har roz jal ke dekhte hain
بہت دنوں سے نہیں ہے کچہ اس کی خیر خبر,bahut dinon se naheen hai kuchh us kee khair khabar
چلو فرازؔ کو اے یار چل کے دیکہتے ہیں,chalo faraaz ko ai yaar chal ke dekhte hain
اگرچہ زور ہواوں نے ڈال رکہا ہے,agarche zor havaaon ne daal rakkhaa hai
مگر چراغ نے لو کو سنبہال رکہا ہے,magar charaa h ne lau ko sambhaal rakkhaa hai
محبتوں میں تو ملنا ہے یا اجڑ جانا,mohabbaton men to milnaa hai yaa ujad jaanaa
مزاج عشق میں کب اعتدال رکہا ہے,mizaajeishq men kab e tidaal rakkhaa hai
ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ,havaa men nashsha hee nashsha fazaa men rang hee rang
یہ کس نے پیرہن اپنا اچہال رکہا ہے,ye kis ne pairahan apnaa uchhaal rakkhaa hai
بہلے دنوں کا بہروسا ہی کیا رہیں نہ رہیں,bhale dinon kaa bharosaa hee kyaa rahen na rahen
سو میں نے رشتۂ غم کو بحال رکہا ہے,so main ne rishtae ham ko bahaal rakkhaa hai
ہم ایسے سادہ دلوں کو وہ دوست ہو کہ خدا,ham aise saadadilon ko vo dost ho ki khudaa
سبہی نے وعدۂ فردا پہ ٹال رکہا ہے,sabhee ne vaadaefardaa pe taal rakkhaa hai
حساب لطف حریفاں کیا ہے جب تو کہلا,hisaabelutfehareefaan kiyaa hai jab to khulaa
کہ دوستوں نے زیادہ خیال رکہا ہے,ki doston ne ziyaada khayaal rakkhaa hai
بہری بہار میں اک شاخ پر کہلا ہے گلاب,bharee bahaar men ik shaakh par khilaa hai gulaab
کہ جیسے تو نے ہتہیلی پہ گال رکہا ہے,ki jaise too ne hathelee pe gaal rakkhaa hai
فرازؔ عشق کی دنیا تو خوبصورت تہی,faraaz ishq kee duniyaa to khoobsoorat thee
یہ کس نے فتنۂ ہجر و وصال رکہا ہے,ye kis ne fitnaehijrovisaal rakkhaa hai
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے,aisaa hai ki sab khvaab musalsal naheen hote
جو اج تو ہوتے ہیں مگر کل نہیں ہوتے,jo aaj to hote hain magar kal naheen hote
اندر کی فضاوں کے کرشمے بہی عجب ہیں,andar kee fazaaon ke karishme bhee ajab hain
مینہ ٹوٹ کے برسے بہی تو بادل نہیں ہوتے,menh tuut ke barse bhee to baadal naheen hote
کچہ مشکلیں ایسی ہیں کہ اساں نہیں ہوتیں,kuchh mushkilen aisee hain ki aasaan naheen hoteen
کچہ ایسے معمے ہیں کبہی حل نہیں ہوتے,kuchh aise muamme hain kabhee hal naheen hote
شایستگی غم کے سبب انکہوں کے صحرا,shaaistageee ham ke sabab aankhon ke sahraa
نمناک تو ہو جاتے ہیں جل تہل نہیں ہوتے,namnaak to ho jaate hain jalthal naheen hote
کیسے ہی تلاطم ہوں مگر قلزم جاں میں,kaise hee talaatum hon magar qulzumejaan men
کچہ یاد جزیرے ہیں کہ اوجہل نہیں ہوتے,kuchh yaadjazeere hain ki ojhal naheen hote
عشاق کے مانند کیی اہل ہوس بہی,ushshaaq ke maanind kaee ahlehavas bhee
پاگل تو نظر اتے ہیں پاگل نہیں ہوتے,paagal to nazar aate hain paagal naheen hote
سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے,sab khvaahishen puuree hon faraaz aisaa naheen hai
جیسے کیی اشعار مکمل نہیں ہوتے,jaise kaee ashaar mukammal naheen hote
ایسے چپ ہیں کہ یہ منزل بہی کڑی ہو جیسے,aise chup hain ki ye manzil bhee kadee ho jaise
تیرا ملنا بہی جدایی کی گہڑی ہو جیسے,teraa milnaa bhee judaaee kee ghadee ho jaise
اپنے ہی سایے سے ہر گام لرز جاتا ہوں,apne hee saae se har gaam laraz jaataa huun
راستے میں کویی دیوار کہڑی ہو جیسے,raaste men koee deevaar khadee ho jaise
کتنے ناداں ہیں ترے بہولنے والے کہ تجہے,kitne naadaan hain tire bhoolne vaale ki tujhe
یاد کرنے کے لیے عمر پڑی ہو جیسے,yaad karne ke liye umr padee ho jaise
تیرے ماتہے کی شکن پہلے بہی دیکہی تہی مگر,tere maathe kee shikan pahle bhee dekhee thee magar
یہ گرہ اب کے مرے دل میں پڑی ہو جیسے,ye girah ab ke mire dil men padee ho jaise
منزلیں دور بہی ہیں منزلیں نزدیک بہی ہیں,manzilen duur bhee hain manzilen nazdeek bhee hain
اپنے ہی پاوں میں زنجیر پڑی ہو جیسے,apne hee paanv men zanjeer padee ho jaise
اج دل کہول کے رویے ہیں تو یوں خوش ہیں فرازؔ,aaj dil khol ke roe hain to yuun khush hain faraaz
چند لمحوں کی یہ راحت بہی بڑی ہو جیسے,chand lamhon kee ye raahat bhee badee ho jaise
عجب جنون مسافت میں گہر سے نکلا تہا,ajab junoonemasaafat men ghar se niklaa thaa
خبر نہیں ہے کہ سورج کدہر سے نکلا تہا,khabar naheen hai ki sooraj kidhar se niklaa thaa
یہ کون پہر سے انہیں راستوں میں چہوڑ گیا,ye kaun phir se unheen raaston men chhod gayaa
ابہی ابہی تو عذاب سفر سے نکلا تہا,abhee abhee to azaabesafar se niklaa thaa
یہ تیر دل میں مگر بے سبب نہیں اترا,ye tiir dil men magar besabab naheen utraa
کویی تو حرف لب چارہ گر سے نکلا تہا,koee to harf labechaaragar se niklaa thaa
یہ اب جو اگ بنا شہر شہر پہیلا ہے,ye ab jo aag banaa shahr shahr phailaa hai
یہی دہواں مرے دیوار و در سے نکلا تہا,yahee dhuaan mire deevaarodar se niklaa thaa
میں رات ٹوٹ کے رویا تو چین سے سویا,main raat tuut ke royaa to chain se soyaa
کہ دل کا زہر مری چشم تر سے نکلا تہا,ki dil kaa zahr miree chashmetar se niklaa thaa
یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر,ye ab jo sar hain khameeda kulaah kee khaatir
یہ عیب بہی تو ہم اہل ہنر سے نکلا تہا,ye aib bhee to ham ahlehunar se niklaa thaa
وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ,vo qais ab jise majnoon pukaarte hain faraaz
تری طرح کویی دیوانہ گہر سے نکلا تہا,tiree tarah koee deevaana ghar se niklaa thaa
اول اول کی دوستی ہے ابہی,avval avval kee dostee hai abhee
اک غزل ہے کہ ہو رہی ہے ابہی,ik hazal hai ki ho rahee hai abhee
میں بہی شہر وفا میں نو وارد,main bhee shahrevafaa men nauvaarid
وہ بہی رک رک کے چل رہی ہے ابہی,vo bhee ruk ruk ke chal rahee hai abhee
میں بہی ایسا کہاں کا زود شناس,main bhee aisaa kahaan kaa zoodshanaas
وہ بہی لگتا ہے سوچتی ہے ابہی,vo bhee lagtaa hai sochtee hai abhee
دل کی وارفتگی ہے اپنی جگہ,dil kee vaaraftagee hai apnee jagah
پہر بہی کچہ احتیاط سی ہے ابہی,phir bhee kuchh ehtiyaat see hai abhee
گرچہ پہلا سا اجتناب نہیں,garche pahlaa saa ijtinaab naheen
پہر بہی کم کم سپردگی ہے ابہی,phir bhee kam kam supurdagee hai abhee
کیسا موسم ہے کچہ نہیں کہلتا,kaisaa mausam hai kuchh naheen khultaa
بوندا باندی بہی دہوپ بہی ہے ابہی,boondaabaandee bhee dhuup bhee hai abhee
خود کلامی میں کب یہ نشہ تہا,khudkalaamee men kab ye nashsha thaa
جس طرح روبرو کویی ہے ابہی,jis tarah roobaroo koee hai abhee
قربتیں لاکہ خوبصورت ہوں,qurbaten laakh khoobsoorat hon
دوریوں میں بہی دل کشی ہے ابہی,dooriyon men bhee dilkashee hai abhee
فصل گل میں بہار پہلا گلاب,faslegul men bahaar pahlaa gulaab
کس کی زلفوں میں ٹانکتی ہے ابہی,kis kee zulfon men taanktee hai abhee
مدتیں ہو گییں فرازؔ مگر,muddaten ho gaiin faraaz magar
وہ جو دیوانگی کہ تہی ہے ابہی,vo jo deevaangee ki thee hai abhee
دوست بن کر بہی نہیں ساتہ نبہانے والا,dost ban kar bhee naheen saath nibhaane vaalaa
وہی انداز ہے ظالم کا زمانے والا,vahee andaaz hai zaalim kaa zamaane vaalaa
اب اسے لوگ سمجہتے ہیں گرفتار مرا,ab use log samajhte hain giraftaar miraa
سخت نادم ہے مجہے دام میں لانے والا,sakht naadim hai mujhe daam men laane vaalaa
صبح دم چہوڑ گیا نکہت گل کی صورت,subhdam chhod gayaa nikhategul kee soorat
رات کو غنچۂ دل میں سمٹ انے والا,raat ko hunchaedil men simat aane vaalaa
کیا کہیں کتنے مراسم تہے ہمارے اس سے,kyaa kahen kitne maraasim the hamaare us se
وہ جو اک شخص ہے منہ پہیر کے جانے والا,vo jo ik shakhs hai munh pher ke jaane vaalaa
تیرے ہوتے ہویے ا جاتی تہی ساری دنیا,tere hote hue aa jaatee thee saaree duniyaa
اج تنہا ہوں تو کویی نہیں انے والا,aaj tanhaa huun to koee naheen aane vaalaa
منتظر کس کا ہوں ٹوٹی ہویی دہلیز پہ میں,muntazir kis kaa huun tuutee huee dahleez pe main
کون ایے گا یہاں کون ہے انے والا,kaun aaegaa yahaan kaun hai aane vaalaa
کیا خبر تہی جو مری جاں میں گہلا ہے اتنا,kyaa khabar thee jo miree jaan men ghulaa hai itnaa
ہے وہی مجہ کو سر دار بہی لانے والا,hai vahee mujh ko saredaar bhee laane vaalaa
میں نے دیکہا ہے بہاروں میں چمن کو جلتے,main ne dekhaa hai bahaaron men chaman ko jalte
ہے کویی خواب کی تعبیر بتانے والا,hai koee khvaab kee taabeer bataane vaalaa
تم تکلف کو بہی اخلاص سمجہتے ہو فرازؔ,tum takalluf ko bhee ikhlaas samajhte ho faraaz
دوست ہوتا نہیں ہر ہاتہ ملانے والا,dost hotaa naheen har haath milaane vaalaa
دکہ فسانہ نہیں کہ تجہ سے کہیں,dukh fasaana naheen ki tujh se kahen
دل بہی مانا نہیں کہ تجہ سے کہیں,dil bhee maanaa naheen ki tujh se kahen
اج تک اپنی بیکلی کا سبب,aaj tak apnee bekalee kaa sabab
خود بہی جانا نہیں کہ تجہ سے کہیں,khud bhee jaanaa naheen ki tujh se kahen
بے طرح حال دل ہے اور تجہ سے,betarah haaledil hai aur tujh se
دوستانہ نہیں کہ تجہ سے کہیں,dostaana naheen ki tujh se kahen
ایک تو حرف اشنا تہا مگر,ek too harfeaashnaa thaa magar
اب زمانہ نہیں کہ تجہ سے کہیں,ab zamaana naheen ki tujh se kahen
قاصدا ہم فقیر لوگوں کا,qaasidaa ham faqeer logon kaa
اک ٹہکانہ نہیں کہ تجہ سے کہیں,ik thikaana naheen ki tujh se kahen
اے خدا درد دل ہے بخشش دوست,ai khudaa dardedil hai bakhshishedost
اب و دانہ نہیں کہ تجہ سے کہیں,aabodaana naheen ki tujh se kahen
اب تو اپنا بہی اس گلی میں فرازؔ,ab to apnaa bhee us galee men faraaz
انا جانا نہیں کہ تجہ سے کہیں,aanaa jaanaa naheen ki tujh se kahen
گفتگو اچہی لگی ذوق نظر اچہا لگا,guftugoo achchhee lagee zauqenazar achchhaa lagaa
مدتوں کے بعد کویی ہم سفر اچہا لگا,muddaton ke baad koee hamsafar achchhaa lagaa
دل کا دکہ جانا تو دل کا مسیلہ ہے پر ہمیں,dil kaa dukh jaanaa to dil kaa masala hai par hamen
اس کا ہنس دینا ہمارے حال پر اچہا لگا,us kaa hans denaa hamaare haal par achchhaa lagaa
ہر طرح کی بے سر و سامانیوں کے باوجود,har tarah kee besarosaamaaniyon ke baavajood
اج وہ ایا تو مجہ کو اپنا گہر اچہا لگا,aaj vo aayaa to mujh ko apnaa ghar achchhaa lagaa
باغباں گلچیں کو چاہے جو کہے ہم کو تو پہول,baa hbaan gulcheen ko chaahe jo kahe ham ko to phuul
شاخ سے بڑہ کر کف دل دار پر اچہا لگا,shaakh se badh kar kafedildaar par achchhaa lagaa
کویی مقتل میں نہ پہنچا کون ظالم تہا جسے,koee maqtal men na pahunchaa kaun zaalim thaa jise
تیغ قاتل سے زیادہ اپنا سر اچہا لگا,te heqaatil se ziyaada apnaa sar achchhaa lagaa
ہم بہی قایل ہیں وفا میں استواری کے مگر,ham bhee qaael hain vafaa men ustuvaaree ke magar
کویی پوچہے کون کس کو عمر بہر اچہا لگا,koee poochhe kaun kis ko umr bhar achchhaa lagaa
اپنی اپنی چاہتیں ہیں لوگ اب جو بہی کہیں,apnee apnee chaahaten hain log ab jo bhee kahen
اک پری پیکر کو اک اشفتہ سر اچہا لگا,ik pareepaikar ko ik aashuftasar achchhaa lagaa
میرؔ کے مانند اکثر زیست کرتا تہا فرازؔ,meer ke maanind aksar ziist kartaa thaa faraaz
تہا تو وہ دیوانہ سا شاعر مگر اچہا لگا,thaa to vo deevaana saa shaair magar achchhaa lagaa
ہر کویی دل کی ہتہیلی پہ ہے صحرا رکہے,har koee dil kee hathelee pe hai sahraa rakkhe
کس کو سیراب کرے وہ کسے پیاسا رکہے,kis ko sairaab kare vo kise pyaasaa rakkhe
عمر بہر کون نبہاتا ہے تعلق اتنا,umr bhar kaun nibhaataa hai taalluq itnaa
اے مری جان کے دشمن تجہے اللہ رکہے,ai miree jaan ke dushman tujhe allaah rakkhe
ہم کو اچہا نہیں لگتا کویی ہم نام ترا,ham ko achchhaa naheen lagtaa koee hamnaam tiraa
کویی تجہ سا ہو تو پہر نام بہی تجہ سا رکہے,koee tujh saa ho to phir naam bhee tujh saa rakkhe
دل بہی پاگل ہے کہ اس شخص سے وابستہ ہے,dil bhee paagal hai ki us shakhs se vaabasta hai
جو کسی اور کا ہونے دے نہ اپنا رکہے,jo kisee aur kaa hone de na apnaa rakkhe
کم نہیں طمع عبادت بہی تو حرص زر سے,kam naheen tamaeibaadat bhee to hirsezar se
فقر تو وہ ہے کہ جو دین نہ دنیا رکہے,faqr to vo hai ki jo diin na duniyaa rakkhe
ہنس نہ اتنا بہی فقیروں کے اکیلے پن پر,hans na itnaa bhee faqeeron ke akelepan par
جا خدا میری طرح تجہ کو بہی تنہا رکہے,jaa khudaa meree tarah tujh ko bhee tanhaa rakkhe
یہ قناعت ہے اطاعت ہے کہ چاہت ہے فرازؔ,ye qanaaat hai itaaat hai ki chaahat hai faraaz
ہم تو راضی ہیں وہ جس حال میں جیسا رکہے,ham to raazee hain vo jis haal men jaisaa rakkhe
ہوا کے زور سے پندار بام و در بہی گیا,havaa ke zor se pindaarebaamodar bhee gayaa
چراغ کو جو بچاتے تہے ان کا گہر بہی گیا,charaa h ko jo bachaate the un kaa ghar bhee gayaa
پکارتے رہے محفوظ کشتیوں والے,pukaarte rahe mahfooz kashtiyon vaale
میں ڈوبتا ہوا دریا کے پار اتر بہی گیا,main doobtaa huaa dariyaa ke paar utar bhee gayaa
اب احتیاط کی دیوار کیا اٹہاتے ہو,ab ehtiyaat kee deevaar kyaa uthaate ho
جو چور دل میں چہپا تہا وہ کام کر بہی گیا,jo chor dil men chhupaa thaa vo kaam kar bhee gayaa
میں چپ رہا کہ اسی میں تہی عافیت جاں کی,main chup rahaa ki isee men thee aafiyat jaan kee
کویی تو میری طرح تہا جو دار پر بہی گیا,koee to meree tarah thaa jo daar par bhee gayaa
سلگتے سوچتے ویران موسموں کی طرح,sulagte sochte veeraan mausamon kee tarah
کڑا تہا عہد جوانی مگر گزر بہی گیا,kadaa thaa ahdejavaanee magar guzar bhee gayaa
